Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2023-10-02,171.22,174.3,170.93,173.75,52156935.0,173.75,617249,173.2879,False,AAPL
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,172.4,542569,172.1342,False,AAPL
2023-10-04,171.09,174.21,170.97,173.66,53006286.0,173.66,560975,172.9437,False,AAPL
2023-10-05,173.79,175.45,172.68,174.91,48527918.0,174.91,509175,174.2297,False,AAPL
2023-10-06,173.8,177.99,173.18,177.49,57266675.0,177.49,593944,176.3366,False,AAPL
2023-10-09,176.81,179.05,175.8,178.99,42344772.0,178.99,518256,177.8683,False,AAPL
2023-10-10,178.1,179.72,177.95,178.39,43698019.0,178.39,524939,178.6901,False,AAPL
2023-10-11,178.2,179.85,177.6,179.8,47544848.0,179.8,503477,178.9503,False,AAPL
2023-10-12,180.07,182.34,179.04,180.71,56743119.0,180.71,616891,180.9482,False,AAPL
2023-10-13,181.42,181.93,178.14,178.85,51412082.0,178.85,531441,179.4154,False,AAPL
2023-10-16,176.75,179.075,176.51,178.72,52516984.0,178.72,632605,178.1478,False,AAPL
2023-10-17,176.645,178.42,174.8,177.15,57549350.0,177.15,592323,176.8623,False,AAPL
2023-10-18,175.58,177.575,175.11,175.84,54764375.0,175.84,540187,176.3501,False,AAPL
2023-10-19,176.04,177.84,175.19,175.46,59192863.0,175.46,560260,176.215,False,AAPL
2023-10-20,175.31,175.42,172.64,172.88,64211828.0,172.88,600318,173.7459,False,AAPL
2023-10-23,170.91,174.01,169.93,173.0,55980109.0,173.0,639616,172.3829,False,AAPL
2023-10-24,173.05,173.67,171.45,173.44,43816644.0,173.44,530406,172.7333,False,AAPL
2023-10-25,171.88,173.06,170.65,171.1,57156962.0,171.1,610143,171.4932,False,AAPL
2023-10-26,170.37,171.3775,165.67,166.89,70625258.0,166.89,815217,167.5944,False,AAPL
2023-10-27,166.91,168.96,166.83,168.22,58257129.0,168.22,609511,167.9072,False,AAPL
2023-10-30,169.02,171.17,168.87,170.29,51130955.0,170.29,628253,170.0774,False,AAPL
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,170.77,509879,169.9252,False,AAPL
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,173.97,633476,172.6187,False,AAPL
2023-11-02,175.52,177.78,175.46,177.57,77292052.0,177.57,805046,176.6794,False,AAPL
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,176.65,858038,175.5751,False,AAPL
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,179.23,678103,178.5589,False,AAPL
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,181.82,653779,181.2627,False,AAPL
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,182.89,542421,182.6566,False,AAPL
2023-11-09,182.96,184.12,181.81,182.41,53631840.0,182.41,545657,182.912,False,AAPL
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,186.4,610938,185.4104,False,AAPL
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,184.8,530407,184.8317,False,AAPL
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,187.44,609218,187.2038,False,AAPL
2023-11-15,187.845,189.5,187.78,188.01,53608999.0,188.01,564159,188.4191,False,AAPL
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,189.71,620748,189.7109,False,AAPL
2023-11-17,190.25,190.38,188.57,189.69,50737404.0,189.69,510217,189.6022,False,AAPL
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,191.45,554014,191.2984,False,AAPL
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,190.64,450749,190.51,False,AAPL
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,191.31,463560,191.7223,False,AAPL
2023-11-24,190.87,190.9,189.25,189.97,24018404.0,189.97,335946,189.7899,False,AAPL
2023-11-27,189.92,190.67,188.9,189.79,40456609.0,189.79,508895,189.7974,False,AAPL
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,190.4,458154,190.165,False,AAPL
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,189.37,493064,189.9974,False,AAPL
2023-11-30,189.84,190.32,188.19,189.95,48744366.0,189.95,486786,189.337,False,AAPL
